Instance,Terminal,Layer,X location,Y location,Voltage
PHY_EDGE_ROW_1_Right_1,VGND,li1,60.4900,16.3200,0.000004
PHY_EDGE_ROW_0_Right_0,VGND,li1,60.4900,10.8800,0.000000
_191_,VGND,li1,42.7800,16.3200,0.000003
_190_,VGND,li1,52.4400,16.3200,0.000004
_189_,VGND,li1,52.9000,16.3200,0.000004
_188_,VGND,li1,52.4400,32.6400,0.000003
_187_,VGND,li1,54.2800,32.6400,0.000004
_186_,VGND,li1,44.1600,27.2000,0.000004
_185_,VGND,li1,55.2000,43.5200,0.000003
_184_,VGND,li1,52.4400,54.4000,0.000003
_183_,VGND,li1,55.2000,54.4000,0.000004
_182_,VGND,li1,46.9200,59.8400,0.000002
_181_,VGND,li1,44.1600,48.9600,0.000009
_180_,VGND,li1,39.5600,43.5200,0.000003
_179_,VGND,li1,39.5600,38.0800,0.000005
_178_,VGND,li1,39.5600,38.0800,0.000005
_177_,VGND,li1,32.6600,27.2000,0.000003
_176_,VGND,li1,38.1800,21.7600,0.000009
_175_,VGND,li1,34.5000,16.3200,0.000004
_174_,VGND,li1,25.3000,16.3200,0.000004
_173_,VGND,li1,18.8600,16.3200,0.000004
_172_,VGND,li1,13.8000,16.3200,0.000003
_171_,VGND,li1,23.4600,27.2000,0.000001
_170_,VGND,li1,13.8000,27.2000,0.000002
_169_,VGND,li1,11.9600,38.0800,0.000004
_168_,VGND,li1,23.4600,43.5200,0.000004
_167_,VGND,li1,13.8000,43.5200,0.000002
_166_,VGND,li1,12.1900,48.9600,0.000005
_165_,VGND,li1,23.9200,54.4000,0.000002
_164_,VGND,li1,36.3400,59.8400,0.000002
_163_,VGND,li1,30.8200,54.4000,0.000002
_162_,VGND,li1,19.7800,59.8400,0.000002
_161_,VGND,li1,45.3100,10.8800,0.000000
_160_,VGND,li1,56.3500,10.8800,0.000000
_159_,VGND,li1,54.9700,10.8800,0.000000
_158_,VGND,li1,52.2100,27.2000,0.000003
_157_,VGND,li1,52.6700,38.0800,0.000002
_156_,VGND,li1,43.4700,27.2000,0.000004
_155_,VGND,li1,54.0500,38.0800,0.000002
_154_,VGND,li1,55.4300,38.0800,0.000002
_153_,VGND,li1,49.4500,65.2800,0.000000
_152_,VGND,li1,47.6100,59.8400,0.000002
